timestep,node_id,order_quantity,inventory,true_reward
0,node_1,0.0,110.0,29.48
0,node_2,0.0,80.0,-11.0
0,node_3,0.0,400.0,-6.0
0,node_4,0.0,350.0,-4.8
0,node_5,0.0,380.0,-4.55
0,node_6,0.0,0.0,-20.9
1,node_1,0.0,110.0,25.9
1,node_2,0.0,80.0,-11.0
1,node_3,0.0,400.0,-6.0
1,node_4,0.0,350.0,-4.8
1,node_5,0.0,380.0,-4.55
1,node_6,0.0,0.0,-20.9
2,node_1,0.0,110.0,54.74
2,node_2,0.0,80.0,-11.0
2,node_3,0.0,400.0,-6.0
2,node_4,0.0,350.0,-4.8
2,node_5,0.0,380.0,-4.55
2,node_6,0.0,0.0,-20.9
3,node_1,0.0,110.0,49.49
3,node_2,0.0,80.0,-11.0
3,node_3,0.0,400.0,-6.0
3,node_4,0.0,350.0,-4.8
3,node_5,0.0,380.0,-4.55
3,node_6,0.0,0.0,-20.9
4,node_1,0.0,110.0,33.6
4,node_2,0.0,80.0,-11.0
4,node_3,0.0,400.0,-6.0
4,node_4,0.0,350.0,-4.8
4,node_5,0.0,380.0,-4.55
4,node_6,0.0,0.0,-20.9
5,node_1,0.0,110.0,-2.5
5,node_2,0.0,80.0,-11.0
5,node_3,0.0,400.0,-6.0
5,node_4,0.0,350.0,-4.8
5,node_5,0.0,380.0,-4.55
5,node_6,0.0,0.0,-20.9
6,node_1,0.0,110.0,-1.6
6,node_2,0.0,80.0,-11.0
6,node_3,0.0,400.0,-6.0
6,node_4,0.0,350.0,-4.8
6,node_5,0.0,380.0,-4.55
6,node_6,0.0,0.0,-20.9
7,node_1,0.0,110.0,-0.9
7,node_2,0.0,80.0,-11.0
7,node_3,0.0,400.0,-6.0
7,node_4,0.0,350.0,-4.8
7,node_5,0.0,380.0,-4.55
7,node_6,0.0,0.0,-20.9
8,node_1,0.0,110.0,-1.9000000000000001
8,node_2,0.0,80.0,-11.0
8,node_3,0.0,400.0,-6.0
8,node_4,0.0,350.0,-4.8
8,node_5,0.0,380.0,-4.55
8,node_6,0.0,0.0,-20.9
9,node_1,0.0,110.0,-1.1
9,node_2,0.0,80.0,-11.0
9,node_3,0.0,400.0,-6.0
9,node_4,0.0,350.0,-4.8
9,node_5,0.0,380.0,-4.55
9,node_6,0.0,0.0,-20.9
10,node_1,0.0,110.0,-1.0
10,node_2,0.0,80.0,-11.0
10,node_3,0.0,400.0,-6.0
10,node_4,0.0,350.0,-4.8
10,node_5,0.0,380.0,-4.55
10,node_6,0.0,0.0,-20.9
11,node_1,0.0,110.0,-1.8
11,node_2,0.0,80.0,-11.0
11,node_3,0.0,400.0,-6.0
11,node_4,0.0,350.0,-4.8
11,node_5,0.0,380.0,-4.55
11,node_6,0.0,0.0,-20.9
12,node_1,0.0,110.0,-1.6
12,node_2,0.0,80.0,-11.0
12,node_3,0.0,400.0,-6.0
12,node_4,0.0,350.0,-4.8
12,node_5,0.0,380.0,-4.55
12,node_6,0.0,0.0,-20.9
13,node_1,0.0,110.0,-2.3000000000000003
13,node_2,0.0,80.0,-11.0
13,node_3,0.0,400.0,-6.0
13,node_4,0.0,350.0,-4.8
13,node_5,0.0,380.0,-4.55
13,node_6,0.0,0.0,-20.9
14,node_1,0.0,110.0,-1.3
14,node_2,0.0,80.0,-11.0
14,node_3,0.0,400.0,-6.0
14,node_4,0.0,350.0,-4.8
14,node_5,0.0,380.0,-4.55
14,node_6,0.0,0.0,-20.9
15,node_1,0.0,110.0,-2.3000000000000003
15,node_2,0.0,80.0,-11.0
15,node_3,0.0,400.0,-6.0
15,node_4,0.0,350.0,-4.8
15,node_5,0.0,380.0,-4.55
15,node_6,0.0,0.0,-20.9
16,node_1,0.0,110.0,-1.6
16,node_2,0.0,80.0,-11.0
16,node_3,0.0,400.0,-6.0
16,node_4,0.0,350.0,-4.8
16,node_5,0.0,380.0,-4.55
16,node_6,0.0,0.0,-20.9
17,node_1,0.0,110.0,-2.5
17,node_2,0.0,80.0,-11.0
17,node_3,0.0,400.0,-6.0
17,node_4,0.0,350.0,-4.8
17,node_5,0.0,380.0,-4.55
17,node_6,0.0,0.0,-20.9
18,node_1,0.0,110.0,-2.3000000000000003
18,node_2,0.0,80.0,-11.0
18,node_3,0.0,400.0,-6.0
18,node_4,0.0,350.0,-4.8
18,node_5,0.0,380.0,-4.55
18,node_6,0.0,0.0,-20.9
19,node_1,0.0,110.0,-2.2
19,node_2,0.0,80.0,-11.0
19,node_3,0.0,400.0,-6.0
19,node_4,0.0,350.0,-4.8
19,node_5,0.0,380.0,-4.55
19,node_6,0.0,0.0,-20.9
20,node_1,0.0,110.0,-1.1
20,node_2,0.0,80.0,-11.0
20,node_3,0.0,400.0,-6.0
20,node_4,0.0,350.0,-4.8
20,node_5,0.0,380.0,-4.55
20,node_6,0.0,0.0,-20.9
21,node_1,0.0,110.0,-1.3
21,node_2,0.0,80.0,-11.0
21,node_3,0.0,400.0,-6.0
21,node_4,0.0,350.0,-4.8
21,node_5,0.0,380.0,-4.55
21,node_6,0.0,0.0,-20.9
22,node_1,0.0,110.0,-2.1
22,node_2,0.0,80.0,-11.0
22,node_3,0.0,400.0,-6.0
22,node_4,0.0,350.0,-4.8
22,node_5,0.0,380.0,-4.55
22,node_6,0.0,0.0,-20.9
23,node_1,0.0,110.0,-2.2
23,node_2,0.0,80.0,-11.0
