timestep,node_id,order_quantity,inventory,true_reward
0,node_1,0.15681092441082,110.0,29.48
0,node_2,0.10454061627388,80.0,-2.2
0,node_3,0.15681092441082,400.0,-1.2
0,node_4,0.0,350.0,-4.8
0,node_5,0.15681092441082,380.0,-4.55
0,node_6,0.0,0.0,-4.18
1,node_1,0.1568109095096588,110.0,25.9
1,node_2,0.10454060633977254,80.0,-2.2
1,node_3,0.1568109095096588,400.0,-1.2
1,node_4,0.0,350.0,-4.8
1,node_5,0.1568109095096588,380.0,-4.55
1,node_6,0.0,0.0,-4.18
2,node_1,0.1568109095096588,110.0,54.74
2,node_2,0.10454060633977254,80.0,-2.2
2,node_3,0.1568109095096588,400.0,-1.2
2,node_4,0.0,350.0,-4.8
2,node_5,0.1568109095096588,380.0,-4.55
2,node_6,0.0,0.0,-4.18
3,node_1,0.1568109095096588,110.0,49.49
3,node_2,0.10454060633977254,80.0,-2.2
3,node_3,0.1568109095096588,400.0,-1.2
3,node_4,0.0,350.0,-4.8
3,node_5,0.1568109095096588,380.0,-4.55
3,node_6,0.0,0.0,-4.18
4,node_1,0.1521529257297516,110.0,33.6
4,node_2,0.1014352838198344,80.0,-2.2
4,node_3,0.1521529257297516,400.0,-1.2
4,node_4,0.0,350.0,-4.8
4,node_5,0.1521529257297516,380.0,-4.55
4,node_6,0.0,0.0,-4.18
5,node_1,0.0,110.0,-2.5
5,node_2,0.0,80.0,-2.2
5,node_3,0.0,400.0,-1.2
5,node_4,0.0,350.0,-4.8
5,node_5,0.0,380.0,-4.55
5,node_6,0.0,0.0,-4.18
6,node_1,0.0,110.0,-1.6
6,node_2,0.0,80.0,-2.2
6,node_3,0.0,400.0,-1.2
6,node_4,0.0,350.0,-4.8
6,node_5,0.0,380.0,-4.55
6,node_6,0.0,0.0,-4.18
7,node_1,0.0,110.0,-0.9
7,node_2,0.0,80.0,-2.2
7,node_3,0.0,400.0,-1.2
7,node_4,0.0,350.0,-4.8
7,node_5,0.0,380.0,-4.55
7,node_6,0.0,0.0,-4.18
8,node_1,0.0,110.0,-1.9000000000000001
8,node_2,0.0,80.0,-2.2
8,node_3,0.0,400.0,-1.2
8,node_4,0.0,350.0,-4.8
8,node_5,0.0,380.0,-4.55
8,node_6,0.0,0.0,-4.18
9,node_1,0.0,110.0,-1.1
9,node_2,0.0,80.0,-2.2
9,node_3,0.0,400.0,-1.2
9,node_4,0.0,350.0,-4.8
9,node_5,0.0,380.0,-4.55
9,node_6,0.0,0.0,-4.18
10,node_1,0.0,110.0,-1.0
10,node_2,0.0,80.0,-2.2
10,node_3,0.0,400.0,-1.2
10,node_4,0.0,350.0,-4.8
10,node_5,0.0,380.0,-4.55
10,node_6,0.0,0.0,-4.18
11,node_1,0.0,110.0,-1.8
11,node_2,0.0,80.0,-2.2
11,node_3,0.0,400.0,-1.2
11,node_4,0.0,350.0,-4.8
11,node_5,0.0,380.0,-4.55
11,node_6,0.0,0.0,-4.18
12,node_1,0.0,110.0,-1.6
12,node_2,0.0,80.0,-2.2
12,node_3,0.0,400.0,-1.2
12,node_4,0.0,350.0,-4.8
12,node_5,0.0,380.0,-4.55
12,node_6,0.0,0.0,-4.18
13,node_1,0.0,110.0,-2.3000000000000003
13,node_2,0.0,80.0,-2.2
13,node_3,0.0,400.0,-1.2
13,node_4,0.0,350.0,-4.8
13,node_5,0.0,380.0,-4.55
13,node_6,0.0,0.0,-4.18
14,node_1,0.0,110.0,-1.3
14,node_2,0.0,80.0,-2.2
14,node_3,0.0,400.0,-1.2
14,node_4,0.0,350.0,-4.8
14,node_5,0.0,380.0,-4.55
14,node_6,0.0,0.0,-4.18
15,node_1,0.0,110.0,-2.3000000000000003
15,node_2,0.0,80.0,-2.2
15,node_3,0.0,400.0,-1.2
15,node_4,0.0,350.0,-4.8
15,node_5,0.0,380.0,-4.55
15,node_6,0.0,0.0,-4.18
16,node_1,0.0,110.0,-1.6
16,node_2,0.0,80.0,-2.2
16,node_3,0.0,400.0,-1.2
16,node_4,0.0,350.0,-4.8
16,node_5,0.0,380.0,-4.55
16,node_6,0.0,0.0,-4.18
17,node_1,0.0,110.0,-2.5
17,node_2,0.0,80.0,-2.2
17,node_3,0.0,400.0,-1.2
17,node_4,0.0,350.0,-4.8
17,node_5,0.0,380.0,-4.55
17,node_6,0.0,0.0,-4.18
18,node_1,0.0,110.0,-2.3000000000000003
18,node_2,0.0,80.0,-2.2
18,node_3,0.0,400.0,-1.2
18,node_4,0.0,350.0,-4.8
18,node_5,0.0,380.0,-4.55
18,node_6,0.0,0.0,-4.18
19,node_1,0.0,110.0,-2.2
19,node_2,0.0,80.0,-2.2
19,node_3,0.0,400.0,-1.2
19,node_4,0.0,350.0,-4.8
19,node_5,0.0,380.0,-4.55
19,node_6,0.0,0.0,-4.18
20,node_1,0.0,110.0,-1.1
20,node_2,0.0,80.0,-2.2
20,node_3,0.0,400.0,-1.2
20,node_4,0.0,350.0,-4.8
20,node_5,0.0,380.0,-4.55
20,node_6,0.0,0.0,-4.18
21,node_1,0.0,110.0,-1.3
21,node_2,0.0,80.0,-2.2
21,node_3,0.0,400.0,-1.2
21,node_4,0.0,350.0,-4.8
21,node_5,0.0,380.0,-4.55
21,node_6,0.0,0.0,-4.18
22,node_1,0.0,110.0,-2.1
22,node_2,0.0,80.0,-2.2
22,node_3,0.0,400.0,-1.2
22,node_4,0.0,350.0,-4.8
22,node_5,0.0,380.0,-4.55
22,node_6,0.0,0.0,-4.18
23,node_1,0.0,110.0,-2.2
23,node_2,0.0,80.0,-2.2
23,node_3,0.0,400.0,-1.2
23,node_4,0.0,350.0,-4.8
23,node_5,0.0,380.0,-4.55
23,node_6,0.0,0.0,-4.18
24,node_1,0.0,110.0,-1.5
24,node_2,0.0,80.0,-2.2
24,node_3,0.0,400.0,-1.2
24,node_4,0.0,350.0,-4.8
24,node_5,0.0,380.0,-4.55
24,node_6,0.0,0.0,-4.18
25,node_1,0.0,110.0,-2.4000000000000004
25,node_2,0.0,80.0,-2.2
25,node_3,0.0,400.0,-1.2
25,node_4,0.0,350.0,-4.8
25,node_5,0.0,380.0,-4.55
25,node_6,0.0,0.0,-4.18
26,node_1,0.0,110.0,-2.1
26,node_2,0.0,80.0,-2.2
26,node_3,0.0,400.0,-1.2
26,node_4,0.0,350.0,-4.8
26,node_5,0.0,380.0,-4.55
26,node_6,0.0,0.0,-4.18
27,node_1,0.0,110.0,-1.4000000000000001
27,node_2,0.0,80.0,-2.2
27,node_3,0.0,400.0,-1.2
27,node_4,0.0,350.0,-4.8
27,node_5,0.0,380.0,-4.55
27,node_6,0.0,0.0,-4.18
28,node_1,0.0,110.0,-2.0
28,node_2,0.0,80.0,-2.2
28,node_3,0.0,400.0,-1.2
28,node_4,0.0,350.0,-4.8
28,node_5,0.0,380.0,-4.55
28,node_6,0.0,0.0,-4.18
29,node_1,0.0,110.0,-2.0
29,node_2,0.0,80.0,-2.2
29,node_3,0.0,400.0,-1.2
29,node_4,0.0,350.0,-4.8
29,node_5,0.0,380.0,-4.55
29,node_6,0.0,0.0,-4.18
